"Interval,time,open,high,low,close,volume,rsi,macd,macd_avg,macd_diff,sma20,sma50,sma200,ema20,ema50,ema200,stochrsi,bb_upper,bb_lower,adx,VolAvg20,VolAvg50"
"60min,2023-01-25 13:00:00,395.7,397.82,395.57,397.45,7605610,54.84,-0.46,-0.31,-0.15,396.97,396.68,392.37,396.35,395.92,392.35,0.79,0.0,0.0,13.74,4933989.35,4836784.1"
"5min,2023-02-01 14:00:00,403.16,403.61,400.85,402.4,2492833,40.21,-0.05,-0.06,0.01,402.83,403.17,403.52,402.92,403.12,403.01,0.0,0.0,0.0,18.89,491247.9,569368.92"
"15min,2023-02-01 14:00:00,403.16,404.54,400.85,403.88,5997111,57.53,-0.11,-0.15,0.05,403.32,403.55,402.0,403.27,403.22,401.96,1.0,0.0,0.0,15.67,1878469.6,775160.2"
"30min,2023-02-01 14:00:00,403.16,404.54,400.85,403.13,8336024,49.62,0.04,0.2,-0.16,403.46,402.38,400.73,403.27,402.72,400.47,0.26,0.0,0.0,18.02,2039766.7,2501092.54"
"60min,2023-02-01 14:00:00,403.16,408.7,400.8,407.55,27248429,68.25,0.82,0.68,0.13,403.6,402.09,397.27,403.33,402.2,397.65,1.0,1.0,0.0,25.73,6328169.3,4963276.44"
"5min,2023-02-03 08:55:00,410.28,410.42,409.78,410.32,170582,33.06,-0.47,-0.13,-0.34,412.15,411.99,413.11,411.74,412.06,412.1,0.16,0.0,0.0,37.99,176220.75,72981.5"
"15min,2023-02-03 09:00:00,410.28,410.46,409.5,409.71,369462,32.07,-0.43,-0.23,-0.2,411.89,412.82,407.74,411.9,412.23,408.76,0.0,0.0,1.0,19.23,201658.7,1213409.88"
"30min,2023-02-03 09:00:00,410.28,410.46,409.26,410.09,724853,38.66,-0.3,-0.02,-0.28,412.38,412.36,404.67,412.14,411.27,405.38,0.0,0.0,1.0,18.35,1461740.35,2105155.56"
"60min,2023-02-03 09:00:00,410.28,412.84,409.26,411.99,9528172,52.48,0.93,1.52,-0.59,412.89,408.09,399.49,411.82,408.94,401.12,0.17,0.0,0.0,35.95,5623151.3,5918983.12"
"5min,2023-02-07 13:25:00,409.78,410.38,408.17,408.19,1542767,39.29,0.53,0.73,-0.2,409.86,408.57,408.62,409.94,409.14,408.76,0.0,0.0,0.0,33.33,1055585.85,751743.52"
"15min,2023-02-07 13:30:00,408.21,408.22,406.0,406.98,6118189,42.39,0.22,0.18,0.03,408.34,408.66,410.31,408.73,408.63,408.9,0.23,0.0,0.0,28.21,2200462.1,912678.86"
"30min,2023-02-07 13:30:00,408.21,408.22,406.0,407.33,9054020,44.99,-0.02,-0.08,0.06,408.52,408.38,407.26,408.52,408.81,407.29,0.28,0.0,0.0,21.85,2406562.7,2140705.78"
"60min,2023-02-07 13:00:00,412.74,413.35,406.0,407.33,18391622,44.47,-0.2,-0.35,0.15,408.64,410.3,402.84,408.85,408.96,403.56,0.24,0.0,0.0,20.76,4974934.7,5273718.34"
"5min,2023-02-13 08:55:00,406.81,406.89,406.74,406.75,19062,32.84,-0.07,0.06,-0.13,407.45,407.01,405.85,407.21,407.06,406.41,0.0,0.0,0.0,53.66,33630.1,15589.46"
"15min,2023-02-13 09:00:00,406.73,407.03,406.73,406.95,73124,52.19,0.24,0.3,-0.06,406.94,406.41,407.94,406.97,406.51,407.37,0.13,0.0,0.0,29.1,43083.85,733211.6"
"30min,2023-02-13 09:00:00,406.73,407.28,406.73,407.15,175816,56.65,0.39,0.36,0.03,406.71,405.59,409.02,406.66,406.59,407.68,0.26,0.0,0.0,28.67,875478.15,1428876.46"
"60min,2023-02-13 09:00:00,406.73,408.77,406.67,408.72,6225654,62.27,0.08,-0.35,0.44,405.78,407.9,406.65,406.66,407.44,405.69,1.0,1.0,0.0,17.13,3823096.4,4562603.3"
"5min,2023-02-23 13:30:00,396.12,396.14,395.76,396.04,470789,47.7,-0.23,-0.4,0.17,395.62,397.21,397.99,395.97,396.78,397.92,0.92,0.0,0.0,33.39,708796.1,1039388.18"
"15min,2023-02-23 13:30:00,396.12,396.75,395.76,396.31,2111934,41.1,-0.8,-0.7,-0.1,397.43,398.13,399.71,396.93,397.7,399.94,0.55,0.0,0.0,29.05,2727619.05,1127495.76"
"30min,2023-02-23 13:30:00,396.12,396.89,395.76,396.66,4298676,42.7,-0.59,-0.26,-0.33,398.12,397.94,404.38,397.53,398.25,402.57,0.36,0.0,0.0,22.82,2912928.35,2819192.34"
"60min,2023-02-23 14:00:00,396.66,399.08,396.36,398.58,12245907,50.94,-0.57,-0.59,0.02,397.97,399.62,406.67,398.02,399.86,404.18,0.69,0.0,0.0,20.65,6706496.55,5598420.8"
"5min,2023-03-03 09:15:00,398.59,398.6,398.31,398.33,87367,66.37,0.32,0.23,0.09,397.71,397.5,395.12,397.92,397.45,395.74,0.66,0.0,0.0,25.96,54526.4,28054.5"
"15min,2023-03-03 09:15:00,398.59,398.6,398.14,398.17,340105,67.58,0.59,0.56,0.03,397.42,396.25,394.65,397.38,396.24,395.11,0.4,0.0,0.0,30.02,83719.8,976879.22"
"30min,2023-03-03 09:30:00,398.17,399.38,397.62,399.01,9136217,77.81,1.09,0.99,0.1,396.81,394.4,395.7,396.83,395.46,396.34,1.0,1.0,0.0,38.72,846810.6,1901659.68"
"60min,2023-03-03 09:00:00,398.33,399.38,397.62,399.01,9748174,71.81,1.15,0.67,0.48,394.97,394.72,400.58,395.85,395.27,398.88,1.0,0.0,0.0,25.1,4728715.2,5738403.12"
"5min,2023-03-14 09:20:00,388.52,388.84,388.41,388.79,137298,75.14,0.65,0.53,0.11,387.42,386.33,385.28,387.56,386.68,385.8,1.0,0.0,0.0,27.62,213957.35,95684.34"
